data_source,zpid,address,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_url,zestimate,days_on_market,price_change,listing_status,photos,last_updated,price_per_sqft,has_garage,neighborhood,overall_score,price_score,commute_score,size_score,age_score,location_score,market_score,meets_requirements,recommendation
zillow_rapidapi,1706673,"576 36 1/2 Ave NE, Minneapolis, MN 55418",289000.0,2.0,1.0,1680.0,5227.2,2000,45.034386,-93.2572,Single Family,https://www.zillow.com/homedetails/576-36-1-2-Ave-NE-Minneapolis-MN-55418/1706673_zpid/,291100.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/cd975a440d4d25482f29208e8d7f8125-p_e.jpg,2025-05-24T14:10:19.560489,172.0,False,Minneapolis,0.784,0.711,0.843,0.82,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1698301,"3122 Arthur St NE, Minneapolis, MN 55418",374900.0,4.0,2.0,2544.0,5227.2,2000,45.024784,-93.23237,Single Family,https://www.zillow.com/homedetails/3122-Arthur-St-NE-Minneapolis-MN-55418/1698301_zpid/,374400.0,8.0,0.0,For Sale,https://photos.zillowstatic.com/fp/36ebc56c21c62de948dbe8f8a245857e-p_e.jpg,2025-05-24T14:10:24.351323,147.0,False,Minneapolis,0.782,0.625,0.855,1.0,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1726914,"4104 Upton Ave N, Minneapolis, MN 55412",239900.0,2.0,1.0,1345.0,4791.6,2000,45.02976,-93.31445,Single Family,https://www.zillow.com/homedetails/4104-Upton-Ave-N-Minneapolis-MN-55412/1726914_zpid/,240700.0,2.0,0.0,For Sale,https://photos.zillowstatic.com/fp/8bcf4724f7565d5de39d383f9256d8ce-p_e.jpg,2025-05-24T14:10:19.560376,178.0,False,Minneapolis,0.781,0.76,0.827,0.736,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1763852,"2901 Vincent Ave N, Minneapolis, MN 55411",395000.0,4.0,2.0,3226.0,5227.2,2000,45.009773,-93.31627,Single Family,https://www.zillow.com/homedetails/2901-Vincent-Ave-N-Minneapolis-MN-55411/1763852_zpid/,397600.0,9.0,0.0,For Sale,https://photos.zillowstatic.com/fp/d2ebe79e98e159e7de50ed8906cd970f-p_e.jpg,2025-05-24T14:10:24.350883,122.0,False,Minneapolis,0.779,0.605,0.866,1.0,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1762072,"3427 Upton Ave N, Minneapolis, MN 55412",220000.0,2.0,1.0,760.0,0.12,2000,45.01768,-93.31498,Single Family,https://www.zillow.com/homedetails/3427-Upton-Ave-N-Minneapolis-MN-55412/1762072_zpid/,0.0,1.0,0.0,For Sale,https://photos.zillowstatic.com/fp/edde1a11d7197fb9c9c0280d4007f9e6-p_e.jpg,2025-05-24T14:10:19.560091,289.0,False,Minneapolis,0.776,0.78,0.853,0.633,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1791752,"4245 11th Ave S, Minneapolis, MN 55407",389900.0,4.0,2.0,2058.0,5227.2,2000,44.925507,-93.258385,Single Family,https://www.zillow.com/homedetails/4245-11th-Ave-S-Minneapolis-MN-55407/1791752_zpid/,390100.0,2.0,0.0,For Sale,https://photos.zillowstatic.com/fp/55b3f759b0aa11329b8410e51cb75dc8-p_e.jpg,2025-05-24T14:10:24.351015,189.0,False,Minneapolis,0.776,0.61,0.855,0.914,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,446738537,"4223 Nokomis Ave, Minneapolis, MN 55406",249900.0,3.0,1.0,1460.0,5227.2,2000,44.92607,-93.22795,Single Family,https://www.zillow.com/homedetails/4223-Nokomis-Ave-Minneapolis-MN-55406/446738537_zpid/,0.0,29.0,-35000.0,For Sale,https://photos.zillowstatic.com/fp/7bef41dfbce5f7770eb1dd0f6be90a00-p_e.jpg,2025-05-24T14:10:19.559493,171.0,False,Minneapolis,0.775,0.75,0.84,0.765,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1792902,"4548 18th Ave S, Minneapolis, MN 55407",375000.0,3.0,1.0,2183.0,7405.2,2000,44.920074,-93.24893,Single Family,https://www.zillow.com/homedetails/4548-18th-Ave-S-Minneapolis-MN-55407/1792902_zpid/,385400.0,17.0,0.0,For Sale,https://photos.zillowstatic.com/fp/5747f1e059678d3e2394aa30f675a8f8-p_e.jpg,2025-05-24T14:10:24.351195,172.0,False,Minneapolis,0.771,0.625,0.837,0.946,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1919869,"5421 30th Ave S, Minneapolis, MN 55417",214900.0,2.0,1.0,1617.0,5227.2,2000,44.90466,-93.22939,Single Family,https://www.zillow.com/homedetails/5421-30th-Ave-S-Minneapolis-MN-55417/1919869_zpid/,209900.0,113.0,0.0,For Sale,https://photos.zillowstatic.com/fp/3f9fc60e3d7dad023e540c5d0d20dabd-p_e.jpg,2025-05-24T14:10:19.559656,133.0,False,Minneapolis,0.769,0.785,0.786,0.804,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1885283,"5650 Vincent Ave S, Minneapolis, MN 55410",400000.0,2.0,2.0,2526.0,6969.6,2000,44.899944,-93.31664,Single Family,https://www.zillow.com/homedetails/5650-Vincent-Ave-S-Minneapolis-MN-55410/1885283_zpid/,0.0,1.0,0.0,For Sale,https://photos.zillowstatic.com/fp/886531009dcf83fcfa0f9c21aee3622f-p_e.jpg,2025-05-24T14:10:24.351095,158.0,False,Minneapolis,0.767,0.6,0.762,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
